date,industry,lprod,gva,labour
2016,R: 90 to 93,98.4016,88.9212,90.3657
2017,R: 90 to 93,99.6941,97.1985,97.4968
2018,R: 90 to 93,100.6898,98.2361,97.5631
2019,R: 90 to 93,100.0,100.0,100.0
2020,R: 90 to 93,97.7881,71.8412,73.4662
2021,R: 90 to 93,102.9084,83.6864,81.3213
1997,S: 94 to 96,122.0208,93.3754,76.5242
1998,S: 94 to 96,122.0102,91.4806,74.9778
1999,S: 94 to 96,112.8633,86.2864,76.4521
2000,S: 94 to 96,110.3605,87.4244,79.2171
2001,S: 94 to 96,104.272,85.0709,81.5856
2002,S: 94 to 96,106.0445,87.7827,82.7791
2003,S: 94 to 96,99.1044,83.2765,84.0291
2004,S: 94 to 96,99.428,84.2425,84.7271
2005,S: 94 to 96,98.4706,83.0357,84.3253
2006,S: 94 to 96,97.6979,84.1135,86.0955
2007,S: 94 to 96,96.2967,83.4427,86.6517
2008,S: 94 to 96,95.3242,83.179,87.2591
2009,S: 94 to 96,100.4026,85.4006,85.0582
2010,S: 94 to 96,99.2336,85.7561,86.4183
2011,S: 94 to 96,95.2996,82.6315,86.7071
2012,S: 94 to 96,98.9839,83.0443,83.8968
2013,S: 94 to 96,96.4347,84.8502,87.9872
2014,S: 94 to 96,94.3601,88.012,93.2725
2015,S: 94 to 96,94.9848,88.9121,93.6067
2016,S: 94 to 96,98.6726,91.644,92.8768
2017,S: 94 to 96,100.4191,96.9586,96.5539
2018,S: 94 to 96,103.8899,101.7715,97.961
2019,S: 94 to 96,100.0,100.0,100.0
2020,S: 94 to 96,110.8534,86.3093,77.859
2021,S: 94 to 96,97.4816,78.6928,80.7259
1997,T: 97 and 98,82.3077,85.2183,103.5362
1998,T: 97 and 98,85.9004,82.6908,96.2636
1999,T: 97 and 98,86.6003,85.1162,98.2862
2000,T: 97 and 98,99.4069,95.9918,96.5646
2001,T: 97 and 98,96.7072,92.0858,95.2212
2002,T: 97 and 98,82.2,75.2106,91.4971
2003,T: 97 and 98,61.4515,61.9862,100.8701
2004,T: 97 and 98,64.8559,64.2839,99.118
2005,T: 97 and 98,77.4123,74.4703,96.1995
2006,T: 97 and 98,67.8795,68.3431,100.683
2007,T: 97 and 98,56.8408,57.4674,101.1024
2008,T: 97 and 98,56.4868,59.7651,105.8037
2009,T: 97 and 98,55.0509,52.4636,95.3002
2010,T: 97 and 98,77.8885,68.6495,88.1381
2011,T: 97 and 98,62.913,67.2709,106.9269
2012,T: 97 and 98,77.1471,68.1134,88.2902
2013,T: 97 and 98,75.2469,71.5599,95.1001
2014,T: 97 and 98,75.0118,76.5126,102.0008
2015,T: 97 and 98,78.4326,72.7087,92.7022
2016,T: 97 and 98,78.1262,87.9244,112.5415
2017,T: 97 and 98,86.5201,86.6735,100.1772
2018,T: 97 and 98,94.8759,94.0771,99.158
2019,T: 97 and 98,100.0,100.0,100.0
2020,T: 97 and 98,86.1875,77.9423,90.4334
2021,T: 97 and 98,59.1334,73.8575,124.8999
